ttwacode,ttwaname,All persons,Aged under 15 years,Aged 15 to 64 years,Aged 65 years and over,Asian: Bangladeshi,Asian: Chinese,Asian: Indian,Asian: Pakistani,Asian: Other Asian,Black: African,Black: Caribbean,Black: Other Black,Mixed: White and Asian,Mixed: White and Black African ,Mixed: White and Black Caribbean,Mixed: Other Mixed,White: British,White: Irish,White: Gypsy,White: Roma,White: Other White,Other ethnic group: Arab,Other ethnic group: Any other ethnic group,-8,0,1,2,3,4,5,6,"Job number, thousands, ASHE 8","Median, ASHE 8","Mean, ASHE 8","Job number, ASHE 7","Median, ASHE 7","Mean, ASHE 7",Rent count,Rent mean,Rent median,"Maximum rent, conservative","Maximum rent, central","Maximum rent, stretch"
195,Sheffield & Rotherham,822300,17.15859175,64.90098504,17.8404232,0.541408245,0.976760306,0.973732215,4.612112368,1.106056184,2.524224735,0.573732215,0.403028092,0.770704123,0.335352061,1.076760306,0.638380153,78.96070777,0.403028092,0.1,0.367676031,3.147464429,1.179788398,1.273732215,0.183023098,0.168976447,0.080258773,0.106042919,0.047746178,0.14786189,0.245645075,0.020445618,299,486.7822742,553.4214047,302,489.6923841,556.3476821,7550,674.6556291,636.9205298,792.2632649,671.8455932,556.1720879
163,Northampton & Wellingborough,785200,18.24578451,64.20480132,17.60362965,0.733723892,0.354215487,2.16264646,0.516861946,0.708430973,2.713232298,0.808430973,0.554215487,0.554215487,0.4,0.96264646,0.608430973,77.57236373,0.808430973,0.1,0.254215487,9.179508406,0.154215487,0.808430973,0.194285108,0.14961635,0.09142841,0.119250193,0.048337579,0.135438749,0.23733537,0.024308241,326,531.7411043,615.0042945,297,522.6690236,595.296633,6100,816.1393443,782.2295082,841.779719,713.8359427,556.1720879
165,Nottingham,783800,16.69397806,65.89915795,17.43966573,0.33338862,0.931206941,2.578042868,3.314021434,1.454541975,2.790635366,1.536195458,0.639665731,0.840635366,0.435608574,1.971561623,0.764097984,74.82660117,0.672008165,0.041298801,0.152449604,4.828514927,0.600765501,1.274980862,0.177654821,0.146584895,0.07470563,0.102579135,0.042988948,0.171413855,0.263400499,0.020672216,286,500.4965035,568.6783217,270,486.1507407,550.4122222,8320,751.5973558,718.8341346,841.779719,713.8359427,556.1720879
60,Crewe & Northwich,756000,16.25275132,61.9142328,21.83301587,0.2,0.4,0.805502646,0.305502646,0.6,0.4,0.152751323,0.1,0.552751323,0.247248677,0.405502646,0.352751323,90.35597884,0.647248677,0.1,0.1,3.622010582,0.2,0.505502646,0.17341758,0.127387764,0.074132173,0.113215538,0.046708516,0.142652608,0.303168989,0.019316833,300,532.374,640.767,305,519.252459,603.2714754,6800,878.5294118,764.7058824,817.021492,692.8407679,556.1720879
95,Guildford & Aldershot,753500,17.41256802,64.27911082,18.29676178,0.372355674,0.88976775,2.308307896,1.652050431,3.054651626,1.011015262,0.315408096,0.196284008,1.112368945,0.366250829,0.516443265,0.794810883,77.50518912,0.937889847,0.228652953,0.158327804,6.936602522,0.341220969,1.327259456,0.185589714,0.106316684,0.070933558,0.106192441,0.035851915,0.142762467,0.331669735,0.020683486,331,648.7918429,766.9060423,327,607.9941896,680.1293578,8120,1255.725369,1151.80665,916.0544001,776.8214671,556.1720879
141,Maidstone & North Kent,739500,18.67910751,63.24511156,18.05790399,0.475118323,0.414685598,1.623948614,0.430277214,1.249655172,2.343921569,0.532914131,0.391818796,0.714685598,0.375672752,0.675118323,0.617322515,83.08021636,0.637836376,0.432860041,0.161609195,4.916970926,0.137836376,0.901041244,0.198820048,0.150240399,0.092778174,0.125485481,0.048264174,0.141189453,0.220134227,0.023088045,328,542.4594512,631.2371951,298,514.4020134,573.6832215,5530,974.5081374,931.1030741,916.0544001,776.8214671,556.1720879
171,Oxford,725300,16.84194127,65.25003447,17.92881566,0.423493727,1.163683993,1.704053495,1.533448228,1.581883359,1.314835241,0.445746588,0.272094306,1.114352682,0.433792913,0.707293534,0.893644009,76.83346202,0.961257411,0.093395836,0.166896457,8.839583621,0.339294085,1.222183924,0.179592203,0.110870484,0.070175176,0.096974104,0.0380672,0.140204791,0.344566649,0.019549392,349,602.1025788,675.4080229,374,611.7425134,668.8802139,6090,1264.087028,1146.469622,916.0544001,776.8214671,556.1720879
201,Southampton,688700,16.38012197,63.38524757,20.20910411,0.411209525,0.895600407,1.957238275,0.711078844,1.464614491,1.095310004,0.226978365,0.17231015,0.814244228,0.36442573,0.536735879,0.612080732,82.1708291,0.609336431,0.188078989,0.136155075,6.436300276,0.219093945,0.938768695,0.174846532,0.125053479,0.077366026,0.111918582,0.047852266,0.158013902,0.282632793,0.022316421,333,553.7354354,625.3555556,363,549.2807163,610.5429752,9140,1004.140044,930.607221,916.0544001,776.8214671,556.1720879
70,Dudley & Sandwell,665400,19.29286144,63.28733093,17.36842501,1.74147881,0.351382627,7.846558461,5.576269913,1.776269913,2.435948302,2.487330929,0.762443643,0.854147881,0.202765254,1.959678389,0.554147881,66.83106402,0.402765254,0.1,0.1,3.235948302,0.6,2.135948302,0.205622697,0.206530707,0.088770876,0.113711543,0.042777458,0.127049177,0.189238701,0.026298842,244,492.4393443,543.4229508,190,485.55,546.4,2650,718.7811321,700.8490566,800.5160073,678.8439848,556.1720879
59,Crawley,656700,18.31435968,62.55503274,19.15323588,0.40590833,0.477386935,2.627227044,1.404126694,1.558733059,1.362631339,0.480767474,0.376153495,1.082427288,0.472803411,0.662448607,0.922293285,79.63045531,0.937520938,0.185488046,0.122704431,6.099619309,0.236180905,0.989980204,0.195039117,0.109305901,0.080711202,0.122368281,0.037838109,0.139197372,0.293855822,0.021684196,278,606.2845324,712.8773381,230,555.5743478,654.9734783,5220,1203.440613,1130.287356,916.0544001,776.8214671,556.1720879
183,Portsmouth,654400,16.34364303,62.92353301,20.73974633,0.818811125,0.570110024,0.878438264,0.170293399,0.934550733,1.112117971,0.294758557,0.207915648,0.58801956,0.346179707,0.407915648,0.514608802,87.59475856,0.470216993,0.119208435,0.100305623,4.051084963,0.227200489,0.66224022,0.174286799,0.135701705,0.084093102,0.118866439,0.048086304,0.1616682,0.255519146,0.021778304,287,537.5944251,608.189547,252,513.8769841,586.447619,7370,952.1981004,875.0325645,916.0544001,776.8214671,556.1720879
